title,pageid,wikitext
Aba altında er yatar,300336,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
  
:[1] giyim kuşam kişiliğe ölçü olamaz.

====Kaynakça====
{{Kaynak-TDK|{{PAGENAME}}}}"
"Aba vakti aba, yaba vakti yaba alan yanılmaz",181516,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
Aba vakti [[aba]], [[yaba]] vakti yaba

:[1] ""Her şey zamanında yapılırsa kişi kazançlı olur"" anlamında bir söz."
"Aba vakti yaba, yaba vakti aba",230321,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}

:[1] Kişi, kendisine gerek olan şeyleri vaktinden önce ve ucuz olduğu zaman satın almalıdır.Yazın aba, kışın yaba satın almak gibi.(Mecaz anlamlıdır.)

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Aba zaman yaba yaba zaman aba alınır,378479,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
Aba zamanı yaba, yaba zamanı aba alınır.

:[1] Kişi, kendisine gerek olan şeyleri vaktinden önce ve ucuz olduğu zaman satın almalıdır.Yazın kışlık almak,kışın yazlık almak her zaman karlıdır.
:[2] İnsan kendisine lazım olan şeyleri vaktinden önce almalıdır. Harman zamanı kullanacağı yabayı kışın, kışlık elbiseyi yazın almalıdır."
Abanın kadri yağmurda bilinir,181515,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
Abanın kadri [[yağmur]]da bilinir

:[1] Abanın kadri yağmurda bilinir atasözü ""Daha önce kıymetsiz gibi görünen bir çok şeyin,kullanım zamanı gelince değerinin artması.
:[2] Bir şeyin gerçek değeri, ancak ona çok gerekseme duyulduğu zaman iyi anlaşılır. (Kaynak: Aksoy, Ömer Asım (1995). Atasözleri ve Deyimler Sözlüğü 2 Deyimler Sözlüğü. İstanbul: İnkılâp Kitabevi."
"Abdal abdalın ne umduğunu, ne bulduğunu ister",181704,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Abdal]] abdalın ne umduğunu, ne bulduğunu anan

:[1] ""Sosyal seviyesi eşit insanlar birbirlerini çekemezler"" anlamında bir söz."
Abdal ata binince bey oldum sanır,317036,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Abdal]] [[at]]a binince [[bey]] oldum sanır

:[1] Görmemiş kişi, rastlantı olarak layık olmadığı bir duruma kavuşsa bu durum kendisinin hakkıymış gibi böbürlenir."
"Abdal ata binince bey oldum sanır, şalgam aşa girince yağ oldum sanır",230325,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Abdal]] [[at]]a [[binmek|binince]] [[bey]] oldum sanır, [[şalgam]] [[aş]]a girince [[yağ]] oldum [[sanmak|sanır]]

:[1] Görmemiş kişi, rastlantı olarak layık olmadığı bir duruma kavuşursa bu durum kendisinin hakkıymış gibi aptalca böbürlenir.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
"Abdal düğünden, çocuk oyundan usanmaz",230326,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Abdal]] düğünden, çocuk oyundan usanmaz

:[1] Bir kimse sevdiği işi döne döne ve uzun süre yapmaktan bıkmaz.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Abdala malum olur,220934,"==Türkçe==

===Atasözü===
{{başlık başı|tr|atasözü}}

:[1] Bir şeyin olacağını önceden sezen kimseler için şaka yollu söylenir."
Abdalın dostluğu köy görününceye kadar,230322,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Abdal]]ın dostluğu köy görününceye kadar

:[1] Çıkarı dolayısıyla size yakınlık gösteren kişi, işini yürütecek başka yollar bulunca sizinle ilgisini keser.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Abdalın karnı doyunca gözü pabucundadır,230323,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Abdalın]] karnı doyunca gözü pabucundadır

:[1] Çıkarcı kimsenin arkadaşlığı işi bitinceye kadardır.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
"Abdalın yağı çok olursa gah borusuna çalar, gah gerisine",230324,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Abdal]]ın yağı çok olursa gah borusuna çalar, gah gerisine

:[1] Varlıklı, ama akılsız ve hesapsız kişi, malını gereksiz yerlere harcar, telef eder.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Abdestsiz sofuya namaz mı dayanır?,230494,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[abdest|Abdessiz]] sofuya namaz mı dayanır?

:[1] Gerekli koşulları yerine getirilmedikten sonra az zamanda pek çok iş yapılır.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
"Aca dokuz yorgan örtmüşler, yine uyuyamamış",450280,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
=====[[Aç|Aca]] [[dokuz]] [[yorgan]] [[örtmüşler]] [[yine]] [[uyuyamamış]]=====

:[1] Aç olan kimse, ne türlü rahatlık sağlanırsa sağlansın,dinlendirilemez; uyuyamaz.
:[2] Bir gerekseme içinde bulunan kimse, ancak onun giderilmesiyle rahata kavuşturulabilir.

====Kaynakça====
Aksoy, Ömer Asım. Atasözleri ve Deyimler Sözlüğü 1. İstanbul"
"Acar tazı çullu da belli olur, çulsuz da",230334,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Acar]] tazı çullu da belli olur, çulsuz da

:[1] Değerli kişi, gösterişi, giyim kuşamı olmasa da değerinden bir şey yitirmez; nerede olsa tanınır.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
acele bir ağaçtır meyvesi pişmanlık,458834,"==Türkçe==

===Atasözü===
{{başlık başı|tr|atasözü}}
# yapılan bir [[iş]]e yeterli süre ayırıp o sürede yapmak gerekir"
Acele giden ecele gider,294375,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Acele]] giden [[ecel]]e gider

:[1] İvmekle daha çabuk sonuç alınır sanılmamalıdır.
:[2] Daha çabuk sonuç almak amacıyla işini hızlı yapan kötü sonuç alabilir.
:[3] Acele işe şeytanın karıştığı gibi, acele işlerimiz hep bizim dikkatimizi dağıtır, daha dağınık iş yapmamıza neden olur.
====Eş anlamlılar====
:[1] [[Acele ile menzil alınmaz]]
:[2] [[Acele işe şeytan karışır]]
:[3] [[Acele yürüyen yolda kalır]]"
Acele giden ecele gider.,295447,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
Acele giden [[ecel]]e gider

:[1] Acele işe şeytanın karıştığı gibi, acele işlerimiz dikkatimizi dağıtır, daha dağınık iş yapmamıza neden olur."
Acele ile menzil alınmaz,230335,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Acele]] ile menzil alınmaz
# ivmekle daha çabuk sonuç alınır sanılmamalıdır

====Eş anlamlılar====
:[1] [[Acele işe şeytan karışır]]
:[2] [[Acele giden ecele gider]]
:[3] [[Acele yürüyen yolda kalır]]

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Acele işe şeytan karışır,17405,"
==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Acele]] [[iş]]e [[şeytan]] karışır.

:[1] Bir işi acele yaparsak yanlış veya hatalı olur anlamında bir söz.

====Eş anlamlılar====
:[1] [[Acele ile menzil alınmaz]]
:[2] [[Acele giden ecele gider]]
:[3] [[Acele yürüyen yolda kalır]] 

====Karşılıklar====
{{Üst}}
*Almanca: {{ç|de|eile mit Weile}}
*Farsça: {{ç|fa|عجله کار شیطان است}}
*Fransızca: {{ç|fr|la vitesse de Satan}}, {{ç|fr|qui va lentement va sûrement}}
*İngilizce: {{ç|en|great haste makes great waste}}, {{ç|en|haste makes waste}}, {{ç|en|more haste less speed}}
*İspanyolca: {{ç|es|no por mucho madrugar se amanece más temprano}}
*İsveççe: {{ç|sv|det är bäst att skynda långsamt}}
*İtalyanca: {{ç|it|la gatta frettolosa fece i gattini ciechi}}
*Portekizce: {{ç|pt|a pressa é inimiga da perfeição}}
*Arapça: {{ç|ar|فى التأنى السلامة وفى العجلة الندامه}}
*Rumence: {{ç|ro|graba strică treaba}}
{{Alt}}

====Çeviriler====
{{Üst|tip=çeviriler}}
*Almanca: [1] In hastige Arbeit mischt sich der Teufel ein
*İngilizce: [1] The Devil is involved in hurried work
*Rumence: [1] Dracul se bagă în treaba făcută în grabă
{{Alt}}"
Acele yürüyen yolda kalır,230336,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Acele]] yürüyen yolda kalır

:[1] Bir insan işini acele ile yapıp hemen bitirmek isterse işi yaparken işini şaşırır ve sona erdiremez.

====Eş anlamlılar====
:[1] [[Acele işe şeytan karışır]]
:[2] [[Acele giden ecele gider]]
:[3] [[Acele ile menzil alınmaz]]

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Aceleci sinek süte düşer,210400,"==Türkçe==
===Köken===
{{k|otk|dil=tr}} [[Ebek sinek süte düşer]].

===Atasözü===
{{başlık başı|tr|atasözü}}
# ""Yeteri kadar düşünüp taşınmadan, çabuk ve acele davranılarak yapılan işten pekiyi sonuç beklenmemelidir; o iş ya yanlıştır ya da bozuktur. Bunun sonucu olarak bu işi bize veren insanları hayal kırıklığına uğratabilir; kendimizden kötü anlamda ödün vermiş olabiliriz.""

===Kaynakça===
*{{Erdi, Seçkin-DLT-2005}}"
Acemi katır kapı önünde yük indirir,162879,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Acemi]] [[katır]] [[kapı]] önünde [[yük]] indirir.

:[1] ""Elinden yeterince iş gelmeyen kimseler,kendilerine verilen görevi istenildiği biçimde yapamazlar"" anlamında bir söz."
"Acemi nalbant gibi kah nalına vurur,kah mıhına",181518,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
Acemi [[nalbant]] gibi kah [[nal]]ına vurur,kah [[mıh]]ına

:[1] ""Söylediği sözlerle yaptığı işler arasında tutarlılık yoktur.Bunu da genellikle bilmeyerek yapar"" anlamında bir söz."
Acemi nalbant Kürt eşeğinde dener kendini,230337,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü|baş=[[acemi|Acemi]] [[nalbant]] [[Kürt]] [[eşek|eşeğinde]] [[denemek|dener]] [[kendi]]ni}}

:[1] İşinde ustalığa erişmemiş kimse, ilk denemelerini heder olmasına acınmayacak malzeme üzerinde yapar.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
"Acı acıyı keser, su sancıyı",230333,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Acı]] acıyı keser, su sancıyı

:[1] Bir güçlüğü yenmek için başka bir güç yola başvurmak gerekir."
Acı patlıcanı kırağı çalmaz,181517,"== Türkçe ==

===Atasözü===
{{tr-atasözü}}
# Hayatta birçok [[problem]]le karşılaşıp bunlardan [[başarı]] ile çıkmış olanlar, bundan sonra karşılaşacakları zorlukları da [[atlatmak|atlatıp]] başarı ile çıkarlar."
"Acıkan doymam sanır, susayan kanmam sanır",400431,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}

:[1] [[Bir]] şeyi [[uzun]] [[süre]] elde edemeyen [[kimse]], daha sonra o şeyden ne kadar çok edinirse edinsin yine kendisine yetmeyeceği kanısında bulunur.

====Köken====
:[1] {{k|dil=tr|tr}}

====Kaynakça====
:{{Kaynak-TDK|PAGENAME}}..."
"Acıkan ne olsa yer, acıyan ne olsa söyler",230328,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Acıkan]] ne olsa yer, acıyan ne olsa söyler

:[1] Geçim sıkıntısı içinde bulunan kişi, ne türlü bir geçim yolu bulursa onu yapar. Canı yanan kişi de sonunu düşünmeden ağzına geleni söyler.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Acıkmış kudurmuştan beterdir,230330,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü|baş=[[acıkmış|Acıkmış]] [[kudurmuş]]tan [[beter]]dir}}

:[1] Uzun zaman bir nesnenin yokluğunu çeken kişi, kudurmuş gibi ona saldırır. Gözü başka şey görmez.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Acındırırsan arsız olur; acıktırırsan hırsız olur,230331,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Acındırırsan]] arsız olur; acıktırırsan hırsız olur

:[1] Koruduğunuz kimse, başkalarını ona acındırdığınızı göre göre arsız olur. Emeğinin tam karşılığını vermediğiniz kimse de hırsız olur.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
"Acıyan uyumuş, acıkan uyumamış",230332,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Acıyan]] uyumuş, acıkan uyumamış

:[1] Her türlü sıkıntıya katlanlır, açlığa katlanılmaz.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
"Aç aceleci, tok yavaş olur",295592,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Aç]] [[aceleci]], [[tok]] [[yavaş]] olur

:[1]

====Köken====
:[1] {{k|dil=tr|otk}} [[Aç ebek, tok telek]].

====Kaynakça====
*{{Erdi, Seçkin-DLT-2005}}"
Aç aç ile yatınca arada dilenci doğar,230249,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Aç]] aç ile yatınca arada dilenci doğar

:[1] Karı ve koca yoksul olursa bunlardan doğacak çocuk zengin olmaz ya.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
"Aç aman bilmez, çocuk zaman bilmez",230250,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Aç]] aman bilmez, çocuk zaman bilmez

:[1] Aç, hiçbir mazeretle susturulamaz. Çocuk da bir şey istedi mi, beklemek bilmez.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Aç anansa da kaç,230251,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Aç]] anansa da kaç

:[1] Aç her fenalığı göze almıştır. En yakınları için bile korkulacak bir kimsedir.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Aç arslandan tok domuz yeğdir,230252,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Aç]] arslandan tok domuz yeğdir

:[1] Sadece soyluluk işe yaramaz. Soysuz olup para kazanan, soylu olup da para kazanmayandan üstündür.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Aç aslandan tok domuz yeğdir,400424,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}

:[1] [[Soysuz]] olup [[para]] kazanan, [[soylu]] olup da para kazanmayandan [[üstün]]dür.

====Köken====
:[1] {{köken|dil=tr|tr}}

====Kaynakça====
{{Kaynak-TDK}}"
"Aç at yol almaz, aç it av almaz",230253,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Aç]] at yol almaz, aç it av almaz

:[1] İş gördüğünüz kimseleri aç bırakırsanız kendilerinden yararlanamazsınız.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Aç ayı oynamaz,230254,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
Aç ayı oynamaz

:[1] Birine iş yaptırabilmek için önce onu doyurmalıyız

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Aç domuz darıdan çıkmaz,230255,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Aç]] domuz darıdan çıkmaz

:[1] Kötü yaradılışlı açın düşündüğü tek şey, karnını doyurmaktır. Bunu yaparken kime, neyezarar verdiğini düşünmez.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
"Aç doymam, tok acıkmam sanır",230256,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Aç]] doymam, tok acıkmam sanır

:[1] Aç insan, yeterinden çok yiyecek ister. Tok insan da kendisine yiyecek şey gerek değil gibi davranır.Sözgelişi yoksul kişi, kazandıkça daha kazanmaya çalışır. Varlıklı kişi ise durumunun sürüpgideceğini sanır da kazanç yollarına başvurmaz. Dahası, elindekini bilinçsiz tüketir ..
====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Aç elini kora sokar,230257,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Aç]] elini kora sokar

:[1] Aç insan, yiyeceğini sağlamak için kendisini tehlikeye atmaktan çekinmez.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
"Aç esner, aşık gerinir",230258,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Aç]] esner, aşık gerinir

:[1] İçinde bulundukları koşullara göre herkesin ayrı bir durumu, ayrı bir davranışı vardır.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Aç gezmekten tok ölmek yeğdir,230260,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Aç]] gezmekten tok ölmek yeğdir

:[1] Aç olarak yaşamanın ne tadı vardır? Ölürken bile tok olmak yeğlenir.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Aç gezmektense tok ölmek yeğdir,220944,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}

:[1] ""Yoksulluk ölümden de beterdir."" anlamında bir söz."
"Aç gözünü, açarlar gözünü",230259,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Aç]] gözünü, açarlar gözünü

:[1] Her işinde uyanık bulun. Yoksa öyle silleler yersin ki gözünü dört açmak zorunda kalırsın.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Aç ile dost olayım diyen peşin karnını doyursun,230261,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Aç]] ile dost olayım diyen peşin karnını doyursun

:[1] İlişki kuracağımız kimsenin sağlaması olanağı bulunmayan şeyi, ona güvenmeden, kendimizsağlamalıyız.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Aç ile eceli gelen söyleşir,230262,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Aç]] ile eceli gelen söyleşir

:[1] Açın gözü hiçbir şeyi görmez. O, karnını doyurmak için, kendisine güçlük çıkaran kimseyi öldürebilir.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Aç karın katık istemez,230264,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Aç]] karın katık istemez

:[1] Büyük gerekseme içinde bulunan kişi, lüks peşinde koşmaz. Eline geçen değersiz nesneleribile beğeni ile karşılar.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Aç köpek fırın deler,230263,"== Türkçe ==

===Atasözü===
{{tr-atasözü}}
# [[aç|Aç]] kimse, [[karın|karnını]] [[doyurmak]] için, gücünün yetmeyeceği sanılan engellerle çarpışır ve istediğini elde eder.

===Kaynakça===
*{{Aksoy, Ömer Asım-ADS-1995}}"
